model_id	model_family	description	enabled
TR1	training	pooled_training_vs_control_with_sex_covariate	true
TR2	training	pooled_training_vs_control_no_sex_covariate	true
TW1	timewise	stratified_training_vs_control_by_sex_and_timepoint	true
TW2	timewise	stratified_training_vs_control_by_timepoint_with_sex_covariate	true
HZ1	hz_released_dea	aggregated_library_from_released_dea	true
HZ2	hz_raw_aggregated	aggregated_library_from_pooled_raw_contrasts	true
HZ3	hz_raw_aggregated	aggregated_library_from_stratified_raw_contrasts	true
