dataset_id	enabled	title	organism	genome_build	counts_url	counts_filename	miniml_url	miniml_filename	annotation_url	annotation_filename	sample_id_field	feature_id_column	annotation_source_column	annotation_target_column	group_characteristic	covariates	condition_a_values	condition_b_values	condition_a_label	condition_b_label	signature_name	landing_page_url
GSE224742	true	SLC1A5 knockdown in T98G glioma cells	human	hg38	https://www.ncbi.nlm.nih.gov/geo/download/?format=file&type=rnaseq_counts&acc=GSE224742&file=GSE224742_raw_counts_GRCh38.p13_NCBI.tsv.gz	GSE224742_raw_counts_GRCh38.p13_NCBI.tsv.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE224nnn/GSE224742/miniml/GSE224742_family.xml.tgz	GSE224742_family.xml.tgz	https://www.ncbi.nlm.nih.gov/geo/download/?format=file&type=rnaseq_counts&file=Human.GRCh38.p13.annot.tsv.gz	Human.GRCh38.p13.annot.tsv.gz	accession	GeneID	GeneID	Symbol	cell type		SLC1A5 knockdown	control	slc1a5_knockdown	shrna_control	GSE224742_T98G_SLC1A5_knockdown_vs_control	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE224742
GSE227181	true	Trans-resveratrol response in human embryonic stem-cell-derived neurons	human	hg38	https://www.ncbi.nlm.nih.gov/geo/download/?format=file&type=rnaseq_counts&acc=GSE227181&file=GSE227181_raw_counts_GRCh38.p13_NCBI.tsv.gz	GSE227181_raw_counts_GRCh38.p13_NCBI.tsv.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE227nnn/GSE227181/miniml/GSE227181_family.xml.tgz	GSE227181_family.xml.tgz	https://www.ncbi.nlm.nih.gov/geo/download/?format=file&type=rnaseq_counts&file=Human.GRCh38.p13.annot.tsv.gz	Human.GRCh38.p13.annot.tsv.gz	accession	GeneID	GeneID	Symbol	__accession__		GSM7092810,GSM7092812	GSM7092804,GSM7092805,GSM7092806	trans_resveratrol	untreated	GSE227181_hESC_neuron_trans_resveratrol_vs_control	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE227181
GSE227682	false	JOA compound response in MV4-11 AML cells	human	hg38	https://www.ncbi.nlm.nih.gov/geo/download/?format=file&type=rnaseq_counts&acc=GSE227682&file=GSE227682_raw_counts_GRCh38.p13_NCBI.tsv.gz	GSE227682_raw_counts_GRCh38.p13_NCBI.tsv.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE227nnn/GSE227682/miniml/GSE227682_family.xml.tgz	GSE227682_family.xml.tgz	https://www.ncbi.nlm.nih.gov/geo/download/?format=file&type=rnaseq_counts&file=Human.GRCh38.p13.annot.tsv.gz	Human.GRCh38.p13.annot.tsv.gz	accession	GeneID	GeneID	Symbol	__accession__		GSM7105275,GSM7105276,GSM7105277	GSM7105272,GSM7105274	joa	control	GSE227682_MV4_11_JOA_vs_control	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE227682
GSE229339	false	UBR7 knockdown in HepG2 liver cancer cells	human	hg38	https://www.ncbi.nlm.nih.gov/geo/download/?format=file&type=rnaseq_counts&acc=GSE229339&file=GSE229339_raw_counts_GRCh38.p13_NCBI.tsv.gz	GSE229339_raw_counts_GRCh38.p13_NCBI.tsv.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE229nnn/GSE229339/miniml/GSE229339_family.xml.tgz	GSE229339_family.xml.tgz	https://www.ncbi.nlm.nih.gov/geo/download/?format=file&type=rnaseq_counts&file=Human.GRCh38.p13.annot.tsv.gz	Human.GRCh38.p13.annot.tsv.gz	accession	GeneID	GeneID	Symbol	__accession__	treatment	GSM7159094,GSM7159096,GSM7159097	GSM7159090,GSM7159091,GSM7159092,GSM7159093	ubr7_knockdown	plko_control	GSE229339_HepG2_UBR7_knockdown_vs_control	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE229339
GSE232596	false	56-mer aptamer response in prostate cancer cells	human	hg38	https://www.ncbi.nlm.nih.gov/geo/download/?format=file&type=rnaseq_counts&acc=GSE232596&file=GSE232596_raw_counts_GRCh38.p13_NCBI.tsv.gz	GSE232596_raw_counts_GRCh38.p13_NCBI.tsv.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE232nnn/GSE232596/miniml/GSE232596_family.xml.tgz	GSE232596_family.xml.tgz	https://www.ncbi.nlm.nih.gov/geo/download/?format=file&type=rnaseq_counts&file=Human.GRCh38.p13.annot.tsv.gz	Human.GRCh38.p13.annot.tsv.gz	accession	GeneID	GeneID	Symbol	__accession__	cell_line	GSM7359764,GSM7359765,GSM7359766,GSM7359770,GSM7359771,GSM7359772	GSM7359761,GSM7359762,GSM7359763,GSM7359767,GSM7359768,GSM7359769	aptamer_56mer	control	GSE232596_prostate_56mer_aptamer_vs_control	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE232596
GSE233112	true	Doxorubicin plus FAK inhibitor response in SK-OV-3 ovarian cancer cells	human	hg38	https://www.ncbi.nlm.nih.gov/geo/download/?format=file&type=rnaseq_counts&acc=GSE233112&file=GSE233112_raw_counts_GRCh38.p13_NCBI.tsv.gz	GSE233112_raw_counts_GRCh38.p13_NCBI.tsv.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE233nnn/GSE233112/miniml/GSE233112_family.xml.tgz	GSE233112_family.xml.tgz	https://www.ncbi.nlm.nih.gov/geo/download/?format=file&type=rnaseq_counts&file=Human.GRCh38.p13.annot.tsv.gz	Human.GRCh38.p13.annot.tsv.gz	accession	GeneID	GeneID	Symbol	treatment		doxorubicin 300 nM + IN10018 3 μM	DMSO	doxorubicin_in10018	dmso	GSE233112_SKOV3_doxorubicin_IN10018_vs_DMSO	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE233112
GSE233159	false	Karanjin response in T47D breast cancer cells	human	hg38	https://www.ncbi.nlm.nih.gov/geo/download/?format=file&type=rnaseq_counts&acc=GSE233159&file=GSE233159_raw_counts_GRCh38.p13_NCBI.tsv.gz	GSE233159_raw_counts_GRCh38.p13_NCBI.tsv.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE233nnn/GSE233159/miniml/GSE233159_family.xml.tgz	GSE233159_family.xml.tgz	https://www.ncbi.nlm.nih.gov/geo/download/?format=file&type=rnaseq_counts&file=Human.GRCh38.p13.annot.tsv.gz	Human.GRCh38.p13.annot.tsv.gz	accession	GeneID	GeneID	Symbol	__accession__		GSM7405335,GSM7405336,GSM7405337,GSM7405338	GSM7405331,GSM7405334	karanjin	dmso	GSE233159_T47D_karanjin_vs_DMSO	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE233159
GSE233647	true	RU486 and docetaxel combination response in PC3 docetaxel-resistant cells	human	hg38	https://www.ncbi.nlm.nih.gov/geo/download/?format=file&type=rnaseq_counts&acc=GSE233647&file=GSE233647_raw_counts_GRCh38.p13_NCBI.tsv.gz	GSE233647_raw_counts_GRCh38.p13_NCBI.tsv.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE233nnn/GSE233647/miniml/GSE233647_family.xml.tgz	GSE233647_family.xml.tgz	https://www.ncbi.nlm.nih.gov/geo/download/?format=file&type=rnaseq_counts&file=Human.GRCh38.p13.annot.tsv.gz	Human.GRCh38.p13.annot.tsv.gz	accession	GeneID	GeneID	Symbol	__accession__		GSM7431917,GSM7431918,GSM7431919	GSM7431908,GSM7431909,GSM7431910	ru486_docetaxel	dmso	GSE233647_PC3DR_RU486_docetaxel_vs_DMSO	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE233647
GSE235595	true	KMT9 inhibitor KMI169 response in PC-3M prostate cancer cells	human	hg38	https://www.ncbi.nlm.nih.gov/geo/download/?format=file&type=rnaseq_counts&acc=GSE235595&file=GSE235595_raw_counts_GRCh38.p13_NCBI.tsv.gz	GSE235595_raw_counts_GRCh38.p13_NCBI.tsv.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE235nnn/GSE235595/miniml/GSE235595_family.xml.tgz	GSE235595_family.xml.tgz	https://www.ncbi.nlm.nih.gov/geo/download/?format=file&type=rnaseq_counts&file=Human.GRCh38.p13.annot.tsv.gz	Human.GRCh38.p13.annot.tsv.gz	accession	GeneID	GeneID	Symbol	treatment		360 nM 169 treated	DMSO treated	kmi169	dmso	GSE235595_PC3M_KMI169_vs_DMSO	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE235595
GSE241523	true	DLGAP5 knockdown in T24 bladder cancer cells	human	hg38	https://www.ncbi.nlm.nih.gov/geo/download/?format=file&type=rnaseq_counts&acc=GSE241523&file=GSE241523_raw_counts_GRCh38.p13_NCBI.tsv.gz	GSE241523_raw_counts_GRCh38.p13_NCBI.tsv.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE241nnn/GSE241523/miniml/GSE241523_family.xml.tgz	GSE241523_family.xml.tgz	https://www.ncbi.nlm.nih.gov/geo/download/?format=file&type=rnaseq_counts&file=Human.GRCh38.p13.annot.tsv.gz	Human.GRCh38.p13.annot.tsv.gz	accession	GeneID	GeneID	Symbol	__accession__		GSM7730180,GSM7730181	GSM7730176,GSM7730177	dlgap5_knockdown	shrna_control	GSE241523_T24_DLGAP5_knockdown_vs_control	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE241523
