gene_symbol	gene_id	logFC	AveExpr	t	P.Value	adj.P.Val
GSTA1	ENSG00000243955.5	6.1828620131622	7.08068269155211	5.32221056456101	9.46809269556464e-05	0.0172792691694055
MOGAT2	ENSG00000166391.14	5.70694938359201	6.08170717634038	4.80518247680397	0.000251848211923225	0.0249192740633226
AKR1D1	ENSG00000122787.14	5.4393592533579	5.36771407918222	3.9422953345674	0.00137656589184671	0.0486826526070292
CYP2A6	ENSG00000255974.7	5.28501473529707	8.13670792201218	4.79446558233318	0.000257096611829721	0.0249192740633226
CYP3A4	ENSG00000160868.14	5.22359589268916	8.14075691138337	4.04798124802752	0.00111409089785749	0.0453024229818444
SULT2A1	ENSG00000105398.3	4.86411019804223	7.61660326542492	4.21637710535908	0.000796661822303422	0.0400187713480348
CYP2B6	ENSG00000197408.8	4.7832536751591	7.15825804637762	4.35770725172492	0.000602343772848958	0.0344549628275169
ADH4	ENSG00000198099.8	4.69053426128449	8.40031152651213	5.15448921634076	0.000129564147577829	0.0194422153583857
GBA3	ENSG00000249948.6	4.68285958867104	5.09278692906267	4.53005678245976	0.000429423905816436	0.0304944966259489
NR1I2	ENSG00000144852.17	4.6691326460974	6.13271127677418	4.79799700662081	0.000255354811267531	0.0249192740633226
GPD1	ENSG00000167588.12	4.56112855621216	6.81361618969461	9.3588714372334	1.53490797156354e-07	0.000806245374961713
CMBL	ENSG00000164237.8	4.41060409768614	6.26484740377097	6.6795459252166	8.60379631542084e-06	0.00628077131025721
ACSM2A	ENSG00000183747.11	4.39746707618229	7.74740164022766	7.03046440292345	4.82224650501335e-06	0.00492833592812364
ANO1	ENSG00000131620.17	4.37580611796948	4.79206397657306	4.1366742037514	0.000933442015425084	0.0424692214529581
SLC10A1	ENSG00000100652.4	4.36930922811947	5.90577891206123	6.39367751185984	1.39606918670057e-05	0.00702640193467218
KDM8	ENSG00000155666.11	4.31674749342578	5.57630718834652	4.34018504243049	0.000623528240753368	0.0351422350395189
PKLR	ENSG00000143627.17	4.30624676158902	5.22055073656786	4.39750931033836	0.000556919463520707	0.0336509124000265
BCO2	ENSG00000197580.11	4.27910636922762	4.94960743212142	5.13412726294506	0.000134626331512068	0.0196554444007619
CYP2C8	ENSG00000138115.13	4.1649762133552	8.79756829012405	4.99313494097155	0.000175796632738984	0.0212092982003392
ETNK2	ENSG00000143845.14	4.15851536429017	6.02600551075262	4.138856313493	0.000929395062524238	0.0424692214529581
HAO2	ENSG00000116882.14	4.04248235097351	6.01481437440921	4.11523906969132	0.000974164167291817	0.0432194183392778
LIME1	ENSG00000203896.9	3.99498829077737	6.29642466804582	5.22722805780116	0.000113034795803454	0.0188350371702929
TSKU	ENSG00000182704.7	3.99195573370286	6.7741257845565	4.25723167919966	0.000734669436532267	0.0384385066963811
CES3	ENSG00000172828.12	3.912697776564	5.60196554423945	4.71338125647594	0.000300646547318396	0.0269526992420527
LGALS4	ENSG00000171747.8	3.79545768709185	4.80110975580068	4.09925388459564	0.00100570836031928	0.0433010698695427
ACSM2B	ENSG00000066813.14	3.75285182346558	7.84187943771537	6.06228100196417	2.48155634655304e-05	0.00947234281165391
GLYATL1	ENSG00000166840.13	3.7369925951064	6.67595443304193	4.23485559230322	0.000767986134418652	0.0393515109207806
ADH1C	ENSG00000248144.5	3.7302352396192	6.91834868463624	3.97926813660181	0.00127825608349782	0.0471989716954124
BDH1	ENSG00000161267.11	3.70634429151792	6.84338367853485	4.29051246545213	0.000687827450339452	0.0373391256270979
CYP2C9	ENSG00000138109.9	3.67667636729329	8.61007036289005	4.69859833367671	0.000309372404359009	0.0272243434352672
TMEM82	ENSG00000162460.6	3.64006449725512	4.4663528824623	6.29032962606212	1.66765742704476e-05	0.00746683596572329
FAM99A	ENSG00000205866.3	3.57827609656705	6.00429555825594	4.81639303266367	0.000246476223708855	0.0248899008216871
ASPDH	ENSG00000204653.9	3.5750830647313	5.14641229712869	4.97840518950019	0.000180791904730166	0.0214848054225848
ACY3	ENSG00000132744.7	3.53229977974224	3.46543843557789	4.38899113883422	0.000566336294794966	0.0336509124000265
PIPOX	ENSG00000179761.11	3.51818788803167	7.2060104182207	6.13266435535589	2.19338888859956e-05	0.00908774369249493
FMO3	ENSG00000007933.12	3.48488954907811	7.45843359098006	5.51012869817687	6.69183171835607e-05	0.01630494668184
CAT	ENSG00000121691.4	3.46187637318585	7.8053026125466	5.00668671234517	0.000171326898213674	0.0212092982003392
DDC	ENSG00000132437.17	3.42980421010745	3.63968025254913	4.23315401326867	0.000770582039777102	0.0393515109207806
LRRC75B	ENSG00000178026.12	3.419781446522	4.98690957930472	4.07014614293273	0.00106584796841497	0.0448885971313227
TTC36	ENSG00000172425.10	3.41445371413548	3.92431996186407	4.16360836939817	0.000884723648898495	0.0418605356099195
EHHADH	ENSG00000113790.10	3.39415449812257	7.05022622189923	4.55176015337635	0.000411598472216661	0.0300466884718162
SLC22A7	ENSG00000137204.14	3.39292973468212	7.8505764408884	4.61599802926577	0.000363165265964658	0.0282412920929095
SLC2A2	ENSG00000163581.13	3.36763394700597	7.10503483689479	3.95528303472008	0.00134118536613339	0.0481507533087234
RDH16	ENSG00000139547.7	3.3522200756161	8.68302745747668	6.07053208375716	2.44581834781535e-05	0.00947234281165391
APOA5	ENSG00000110243.11	3.34820589523727	8.24819590340234	7.12678182436178	4.12566284949722e-06	0.00492833592812364
ADH6	ENSG00000172955.17	3.30614950303318	6.62012683914603	4.09792303908309	0.00100838107915374	0.0433010698695427
UPB1	ENSG00000100024.14	3.29617052951782	6.82694856586167	5.17946272221916	0.000123623590375233	0.019233303018376
HLF	ENSG00000108924.13	3.28256675689884	5.66553251984598	5.09775307585033	0.00014418552273588	0.0199760403864507
ALDOB	ENSG00000136872.17	3.22055339254796	11.2953510076725	5.87513233341417	3.45711504583256e-05	0.0110411611776277
PFKFB1	ENSG00000158571.10	3.182251612504	4.4745729452941	5.17947059659896	0.000123621762448986	0.019233303018376
AGXT	ENSG00000172482.4	3.14949691660315	10.196018776931	4.4554389791271	0.000496994908173362	0.0326992787223075
GADD45A	ENSG00000116717.11	3.10034285534341	5.34041231034749	6.40836992845236	1.36139386348307e-05	0.00702640193467218
SLC2A4RG	ENSG00000125520.13	3.06646364776934	6.41462380135167	4.67973290808304	0.00032088831829212	0.0273637109965632
C3P1	ENSG00000167798.17	3.052766948336	8.32421875939009	4.51460141933413	0.000442599750568035	0.0307016026072759
GLYCTK	ENSG00000168237.17	3.03133324976665	6.95767463327108	4.39475993746901	0.000559941220743649	0.0336509124000265
IL22RA1	ENSG00000142677.3	2.99349157625426	2.58005079480259	3.99060312073875	0.00124956937762623	0.0470616344011277
OTC	ENSG00000036473.6	2.97864154258176	5.02507040252274	4.38929632225017	0.000565996111593237	0.0336509124000265
CYP3A5	ENSG00000106258.13	2.95033027275647	7.70343814666377	5.20780905907709	0.000117221460797337	0.0191170744045019
HSF4	ENSG00000102878.16	2.93837064175825	3.96633271032438	3.9146248337246	0.00145513982085719	0.0495495357522981
NTF3	ENSG00000185652.11	2.92640346547687	1.4673607304399	5.00899398728744	0.000170577686327687	0.0212092982003392
GATM	ENSG00000171766.15	2.91918857192828	9.30575611989429	5.06968240525531	0.000152041509637226	0.0200930719201609
PLIN2	ENSG00000147872.9	2.915414646662	8.17451174033446	5.03040300328867	0.000163785347951788	0.0210884532584589
SMAD3-DT	ENSG00000259347.6	2.90579659420188	2.75389882218515	4.30273349362706	0.000671403560639771	0.0368943618242388
EPHX2	ENSG00000120915.13	2.88568785207983	6.69977708416519	5.74184877570955	4.39073247043574e-05	0.0127428137079251
HSD17B3	ENSG00000130948.9	2.88049493560428	2.75881190267689	4.6451904001896	0.000343131735698401	0.0273969245221692
SULT1A1	ENSG00000196502.11	2.87993372188097	5.81608345241447	4.40828752942262	0.000545233761168467	0.0336509124000265
HAAO	ENSG00000162882.14	2.86160960027892	6.5470897856674	6.35568457126974	1.49009142322785e-05	0.00702640193467218
PRODH2	ENSG00000250799.9	2.84664045510758	6.19329068481873	4.57392027487357	0.000394181447970758	0.0291922782482692
ANXA10	ENSG00000109511.11	2.84532637957141	4.06800418446811	5.31106599539092	9.66639833364335e-05	0.0174336337005591
PECR	ENSG00000115425.13	2.84481220864318	5.30034407660323	4.737436874064	0.000286985554736715	0.0265512902021154
OSGIN1	ENSG00000140961.12	2.84170911062194	6.05145423239801	5.82638230939986	3.77194650237918e-05	0.0115647879762946
CYP4A11	ENSG00000187048.12	2.81329082336641	8.43837639002155	4.92825028789694	0.000198929557545085	0.023102955433077
PDLIM2	ENSG00000120913.23	2.78794648212264	4.46027376509784	5.08571408183224	0.000147502038557443	0.0199760403864507
IL17RC	ENSG00000163702.18	2.7862378380161	6.33170036542487	6.77465898542271	7.34216425139236e-06	0.00628077131025721
NUPR1	ENSG00000176046.8	2.78059591507748	6.96085069303121	6.07458335235934	2.42846826317235e-05	0.00947234281165391
CUX2	ENSG00000111249.13	2.77542226066183	5.27710929338959	4.6111562989826	0.000366602552282387	0.0282412920929095
TMT1A	ENSG00000185432.11	2.76022197800981	7.64607511358633	4.34716969257335	0.000614993742755951	0.0350477846708131
SORD	ENSG00000140263.13	2.74260170683236	6.68765607856514	6.34698737012804	1.51253270609382e-05	0.00702640193467218
SLCO2B1	ENSG00000137491.14	2.72173164689921	7.41940881576382	4.58517624456694	0.000385626678994997	0.0286973640242393
UROC1	ENSG00000159650.8	2.68676289154585	6.55152637868734	4.19272955896882	0.000834961968852573	0.0406348158174919
RORC	ENSG00000143365.17	2.65359681440929	6.15504349358065	4.20099574115313	0.000821364504535251	0.0403574290209147
ESPN	ENSG00000187017.15	2.63961273017845	5.87388172787051	4.52296307026346	0.000435420595765117	0.0305793495266123
ATP6V0E2	ENSG00000171130.17	2.62972754418461	5.41451584593667	4.48200239713124	0.000471769762890921	0.0317203090575343
CXCL2	ENSG00000081041.8	2.62902233080884	7.26684799547971	4.50604611758856	0.000450071089502441	0.0309398645832844
ALDH1L1	ENSG00000144908.13	2.62173940701095	7.16155217006058	5.36585848337814	8.73119411285463e-05	0.0167150958369567
AFM	ENSG00000079557.4	2.58808319216345	7.71547341345301	4.16748251891112	0.000877932736845851	0.0418111133527202
MAOB	ENSG00000069535.13	2.57996648291021	6.72562769041512	4.80630675074408	0.000251304063214658	0.0249192740633226
CYP4A22	ENSG00000162365.11	2.57964289513461	7.12652237846088	4.78374362569916	0.000262460466442317	0.0251469934410045
ACADL	ENSG00000115361.7	2.56175932451109	4.04789007928147	4.08348862917465	0.00103783884340721	0.0443177422546865
ACACB	ENSG00000076555.15	2.53280264604158	7.11163544823542	3.99498991061211	0.00123864372228799	0.0467694784794948
SLC22A1	ENSG00000175003.12	2.53076172567878	8.89478844705904	6.34835736208248	1.50897439082152e-05	0.00702640193467218
KLRD1	ENSG00000134539.16	2.47946689482968	2.01967518961582	3.92757107795638	0.00141782564255237	0.0489964882327939
ABCC2	ENSG00000023839.10	2.44306260440063	7.35160615871496	7.18531880857655	3.7547148729905e-06	0.00492833592812364
SPP2	ENSG00000072080.10	2.43354509596653	5.06943444936748	4.58676548186615	0.00038443429909939	0.0286973640242393
DGAT2	ENSG00000062282.14	2.42500820339847	7.24913606472677	4.06643019381475	0.00107378491280905	0.0450989663379801
STARD10	ENSG00000214530.8	2.39827000522861	8.43554733625541	4.82035037438937	0.000244608258160679	0.0248899008216871
DHRS1	ENSG00000157379.13	2.39410481582526	5.69267918334014	4.43448701017215	0.000517865299271772	0.0336393010077808
SELENBP1	ENSG00000143416.20	2.38607524269619	7.42648746059155	4.64533698306062	0.000343034064037362	0.0273969245221692
FTCD	ENSG00000160282.13	2.38592975638428	8.53688219282026	4.41250828266383	0.000540726413004184	0.0336509124000265
BAIAP3	ENSG00000007516.13	2.32294541795962	3.49736103926345	5.39283534684743	8.30576476779092e-05	0.0167150958369567
NDRG2	ENSG00000165795.23	2.32019405676896	7.64096198743484	4.10674949019474	0.000990789334644177	0.0432729358977072
AMT	ENSG00000145020.15	2.30914112570556	5.51853186047954	6.55043631431186	1.06912719249634e-05	0.00681284790630062
XDH	ENSG00000158125.9	2.30521032348365	6.49890575737458	6.48434911623875	1.19592155440655e-05	0.00681284790630062
HADH	ENSG00000138796.16	2.28721990921045	6.6180279709887	5.41910337561847	7.91217593032938e-05	0.0166155694536917
RAB17	ENSG00000124839.12	2.26952979250002	6.25698694216009	4.25289997858889	0.000741001728293832	0.0386379472610355
AKR7A3	ENSG00000162482.4	2.2585376691838	5.94525024889416	4.39199990170433	0.000562991605349272	0.0336509124000265
IDNK	ENSG00000148057.15	2.24219383205947	3.56365469972734	4.44239459696599	0.000509884834786965	0.0332618490097199
SLC28A1	ENSG00000156222.11	2.21716619880131	6.25653043575766	5.36074745911251	8.81431356337184e-05	0.0167150958369567
DHRS4L2	ENSG00000187630.15	2.1940719476736	5.04546946647063	4.59392411662213	0.000379110110537963	0.0286973640242393
SLC39A5	ENSG00000139540.11	2.17463289030697	7.00957506252712	4.32557344488642	0.000641776536034357	0.0359066945160828
SLC25A10	ENSG00000183048.11	2.16211680969719	6.90594880488227	5.88740364951875	3.38226943088824e-05	0.0110319553990461
QDPR	ENSG00000151552.11	2.14176474097916	6.60459575478958	5.49585010439682	6.8695001598382e-05	0.01630494668184
DCXR	ENSG00000169738.7	2.1098146722799	8.88575673308348	4.68127469118247	0.000319930823327607	0.0273637109965632
ZGPAT	ENSG00000197114.11	2.08963439593845	6.2968529879399	3.90604081944504	0.00148042922496094	0.0497282107711544
ABCC6	ENSG00000091262.15	2.08418219297056	6.84412438805229	4.01716147312642	0.00118489203068105	0.0464800385837891
APOC3	ENSG00000110245.11	2.07671515415111	11.7867093374207	5.47872927017891	7.08902023440781e-05	0.0163444928204232
ACAA1	ENSG00000060971.17	2.03571916738352	7.76328493697419	6.80785963810915	6.94882142403788e-06	0.00628077131025721
DMGDH	ENSG00000132837.14	2.0353244805654	6.50755199646732	4.05776953393866	0.00109251783205951	0.0452651116764877
ACADS	ENSG00000122971.8	1.97766497926684	7.28641644308955	4.25956072581311	0.000731287623728689	0.0384385066963811
LCAT	ENSG00000213398.7	1.97649392716035	6.85782011492587	5.25233560115039	0.000107850387815786	0.0183705160579555
DEPDC7	ENSG00000121690.10	1.96232642266014	4.82334689954798	5.10754581554446	0.000141544797070543	0.01990717191827
MGMT	ENSG00000170430.9	1.95155516878634	5.43084620825157	3.94059998105011	0.00138125374758408	0.0486826526070292
CSAD	ENSG00000139631.18	1.94168622238514	5.9463433335977	4.21591390356483	0.00079739453202204	0.0400187713480348
MACROD1	ENSG00000133315.10	1.94126844533728	4.15976896868306	4.36714195712314	0.000591243975231713	0.0342029061898194
LHPP	ENSG00000107902.13	1.933031015671	4.96373562260564	3.90612075430648	0.00148019168247574	0.0497282107711544
PLEKHA6	ENSG00000143850.13	1.93283588498322	6.1304993147759	6.48238899812923	1.19991450404512e-05	0.00681284790630062
FXYD1	ENSG00000266964.5	1.92949679889997	6.13152400674983	4.57113842063115	0.000396325630950951	0.02920996116576
NOXA1	ENSG00000188747.8	1.92138160027226	3.26446355420216	4.86903274734387	0.000222788562198237	0.0245440716972227
FUOM	ENSG00000148803.11	1.89354704307194	5.79125428855308	7.05787535562399	4.61224240612743e-06	0.00492833592812364
RTN4	ENSG00000115310.17	1.89271221926761	7.03332561640277	5.33589999387574	9.23026933813354e-05	0.0170481962594683
PGAP3	ENSG00000161395.13	1.86788387536507	5.01262014646743	3.96093004661439	0.00132609156124404	0.047992647493355
MT-CYB	ENSG00000198727.2	1.8574750086277	14.2889846697354	4.16652757157749	0.000879601686313286	0.0418111133527202
PEMT	ENSG00000133027.17	1.85629995366898	6.4457361149626	3.97762954626287	0.00128245809227219	0.0471989716954124
SLC37A4	ENSG00000137700.17	1.85627471753296	6.60404048210188	3.9829345177699	0.00126890462526122	0.0471470446958254
TP53INP1	ENSG00000164938.13	1.83847201327127	7.34719141307762	4.30882724645534	0.000663364644555616	0.0367125631806411
PHYH	ENSG00000107537.13	1.81850182660925	6.85403305852573	4.65501181058114	0.000336650363551212	0.0273969245221692
ECHS1	ENSG00000127884.4	1.81422155378296	9.11131738615573	5.95852033152462	2.98055426998893e-05	0.00993302107802833
BNIP3	ENSG00000176171.11	1.80996031505147	6.67026544057369	4.90406944888197	0.000208336222581079	0.0237975367479794
FAH	ENSG00000103876.11	1.80676816687027	6.8484388485427	5.2574621214168	0.000106822494262488	0.0183705160579555
MT-CO3	ENSG00000198938.2	1.79092347458209	14.3542984069276	4.08574132153024	0.00103318442376218	0.0442422268611013
RIDA	ENSG00000132541.10	1.78436010943644	7.96904099698824	4.77687287272189	0.000265958244250226	0.0253238502133911
APOC4	ENSG00000267467.3	1.78222170944465	6.72582480551642	7.11243627746744	4.22232118277397e-06	0.00492833592812364
ENSG00000273373	ENSG00000273373.1	1.77697535057074	2.94916061189178	4.4130670149976	0.000540132612395848	0.0336509124000265
ATP5IF1	ENSG00000130770.17	1.75866026262501	5.74105469561913	4.1014631919943	0.00100128737217994	0.0433010698695427
PARD6B	ENSG00000124171.8	1.73556494458206	3.05605604918567	4.49523543401389	0.00045969768075914	0.0313207353157227
ALDH7A1	ENSG00000164904.17	1.72023742472039	5.88410225464157	4.93023523438525	0.000198177141165766	0.023102955433077
RRN3P1	ENSG00000248124.7	1.71851032965768	3.79448269827081	4.03010650626431	0.00115461217659311	0.0461512059540749
MICAL3	ENSG00000243156.7	1.6677824093739	6.26232769125559	5.09019901363367	0.000146257388007797	0.0199760403864507
CHDH	ENSG00000016391.10	1.66736395950052	6.03845792367737	3.98573484756853	0.00126180899057306	0.0471078755319025
TMEM86B	ENSG00000180089.5	1.66023660829914	4.52907921780571	4.67789528611522	0.000322033394272733	0.0273637109965632
SLC27A5	ENSG00000083807.9	1.65726661336148	8.37271535509968	4.85170732440313	0.000230313896003695	0.0245440716972227
ECI2	ENSG00000198721.12	1.64578147458492	5.81378086584808	4.54313608210891	0.000418588760326894	0.0302687061123174
SORBS3	ENSG00000120896.13	1.55614575132322	6.23444033970982	4.3089204196479	0.000663242497531327	0.0367125631806411
NME4	ENSG00000103202.12	1.54769007816169	6.27530305493092	4.72133779426281	0.000296055438308157	0.0269526992420527
ADI1	ENSG00000182551.13	1.54537151591446	8.06533123503029	4.37241744185691	0.00058512901842396	0.0341588025335139
GPT	ENSG00000167701.13	1.53790460047318	6.72439569988098	4.27714291199988	0.000706266342661169	0.0375939688645685
AK4	ENSG00000162433.14	1.53668832471562	6.40911008869928	3.91837879888292	0.00144421849394634	0.0495495357522981
NET1	ENSG00000173848.18	1.53243062027959	5.20683703579778	3.94177119602044	0.00137801346932589	0.0486826526070292
AGPAT2	ENSG00000169692.12	1.50067458943189	8.14369495038705	5.85285010013175	3.59746969723894e-05	0.0112549409099333
