analysis_set_id	dataset_id	enabled
IGVFDS0523KGZP	IGVFFI0331FOUT	true
IGVFDS0790MEEM	IGVFFI3445AYOJ	true
IGVFDS3578UWZK	IGVFFI8750MLNP	true
IGVFDS3959LESA	IGVFFI4354THUZ	true
IGVFDS7132YVKO	IGVFFI3272UWTY	true
IGVFDS2266YDVM	IGVFFI1867ROFS	true
IGVFDS2873EPIU	IGVFFI0726ZROO	true
IGVFDS4003HZAB	IGVFFI6770EFUQ	true
IGVFDS4252LFRU	IGVFFI8786YBUA	true
IGVFDS4389OUWU	IGVFFI7266NWTF	true
IGVFDS7340YDHF	IGVFFI5883SVNN	true
IGVFDS6924DJAZ	IGVFFI0068OWUG	true
IGVFDS3405NGXF	IGVFFI2903THXX	true
IGVFDS5239SBBT	IGVFFI6830YLEK	true
IGVFDS6332VCTO	IGVFFI0830FXFI	true
IGVFDS9445RJOU	IGVFFI5198JCCU	true
