gene_symbol	gene_id	logFC	AveExpr	t	P.Value	adj.P.Val
HOXD3	ENSG00000128652.11	1.10966415024256	0.305773777163664	4.51464003492963	2.65500657676038e-05	0.0359810284149106
LTBP2	ENSG00000119681.11	0.937817633894863	6.39101950746342	4.88461358173882	6.82469570267125e-06	0.0215808252611303
CLDN15	ENSG00000106404.13	0.773848434395464	3.20475814498691	5.66278102894398	3.44288936934803e-07	0.00516005255471882
UAP1L1	ENSG00000197355.10	0.667791366889757	4.00790546539757	4.55481966011561	2.29602128118226e-05	0.0340597770353707
ARAP1	ENSG00000186635.14	0.341762455934363	6.30282961947209	4.68087534125937	1.45025617041095e-05	0.0305730114680078
AIMP1	ENSG00000164022.16	-0.340001550762732	5.2506885507648	-4.92739363955003	5.81596902744827e-06	0.0215808252611303
SMU1	ENSG00000122692.8	-0.358469272030453	5.81369129626222	-4.9171236346744	6.04392960623967e-06	0.0215808252611303
ZNF134	ENSG00000213762.11	-0.482012622215077	4.25936743651419	-4.5503229047363	2.33372213914415e-05	0.0340597770353707
TIMM23B	ENSG00000204152.10	-0.482847412210382	2.76360389028534	-4.63035005339563	1.74464432638332e-05	0.0307502501547492
ZNG1A	ENSG00000172785.18	-0.590598849717624	3.56105679367082	-4.73265040907853	1.19897263500195e-05	0.0284351347548651
ENSG00000278993	ENSG00000278993.1	-0.868664215565017	0.122181637953685	-4.62441803295675	1.7828111089561e-05	0.0307502501547492
MIR17HG	ENSG00000215417.12	-1.46739114894153	-0.677057674397061	-4.73410664835175	1.19255783817189e-05	0.0284351347548651
MIR22HG	ENSG00000186594.14	-1.61885907863692	5.34066359486386	-5.52970197913291	5.79846771776062e-07	0.00516005255471882
MT-TE	ENSG00000210194.1	-1.80348591730609	-0.747524091848264	-4.46662620224706	3.15590252771494e-05	0.0399179591055571
NPIPB2	ENSG00000234719.8	-1.84905019506587	-1.94602361417238	-5.44196639413964	8.15904583574366e-07	0.00516005255471882
