gene_symbol	gene_id	logFC	AveExpr	t	P.Value	adj.P.Val
LRRC15	ENSG00000172061.8	4.13416461869883	-0.585443647715005	5.6315309000743	1.90120994193235e-06	0.0187681343238187
ENSG00000265179	ENSG00000265179.6	3.45246227981953	-1.23946504576239	5.53429621789943	2.57921879498863e-06	0.0187681343238187
ADCYAP1	ENSG00000141433.12	2.54791493688269	1.29839171615875	5.04264358019079	1.19881748232532e-05	0.0295729205344402
C16orf89	ENSG00000153446.15	1.92429838359836	0.369413002313704	4.65227458070798	4.00782637440272e-05	0.0361926760740438
RGS1	ENSG00000090104.11	1.86689122572142	3.5530050915035	5.38198751217282	4.15661022619316e-06	0.0187681343238187
SFRP2	ENSG00000145423.4	1.71071465719823	5.92598560304186	5.2544766910697	6.19345077155808e-06	0.0223719828770221
LUM	ENSG00000139329.4	1.69105889163417	5.83455012785079	4.626233895581	4.34119873455349e-05	0.0364538827411636
ENSG00000226396	ENSG00000226396.1	1.61970695067637	-0.0370760132429733	4.74134649050094	3.04744479423202e-05	0.0358515618165278
PALM3	ENSG00000187867.8	1.49405318974317	-1.63845666316121	4.70823242340248	3.37454488057678e-05	0.0358515618165278
BHLHE22	ENSG00000180828.2	1.41065918315875	0.90326575899201	4.71756412681136	3.2790104547314e-05	0.0358515618165278
COL14A1	ENSG00000187955.11	1.0832031850826	6.00286564771718	4.61695963813784	4.46641264163607e-05	0.0364538827411636
APOBEC3D	ENSG00000243811.8	1.01236331985993	0.00306112452175077	4.99989811498948	1.36917628072571e-05	0.0295729205344402
ENSG00000278993	ENSG00000278993.1	-1.06836177148986	0.194903532408691	-4.60435859480025	4.64226401111103e-05	0.0364538827411636
ENSG00000223947	ENSG00000223947.1	-1.19160612830872	0.743024054707451	-4.73260361890773	3.13063244851694e-05	0.0358515618165278
MIR22HG	ENSG00000186594.14	-1.62115577163943	5.65733831363803	-5.42474991689877	3.63568792712724e-06	0.0187681343238187
MIF-AS1	ENSG00000218537.1	-1.79452916342162	-1.03221621252129	-4.66758270333867	3.82377390170948e-05	0.0361926760740438
MT-TE	ENSG00000210194.1	-2.18550128783855	-0.626782769754366	-5.12185821627133	9.36809350247125e-06	0.0281995227913556
