model_id	family	workflow_de_mode	workflow_backend	workflow_balance_groups	workflow_balance_seed	workflow_gene_filter_scope	workflow_covariates	annotation_mode	extractor_postprocess_mode	extractor_score_mode	extractor_select	extractor_disable_default_excludes	extractor_gmt_require_symbol	extractor_emit_small_gene_sets	extractor_padj_max	extractor_pvalue_max	extractor_min_abs_logfc	extractor_top_k	extractor_min_score	extractor_gmt_source	extractor_gmt_topk_list	extractor_gmt_min_genes	extractor_gmt_max_genes	extractor_gmt_biotype_allowlist
AB1	anchor	modern	auto	false	0	contrast	SEX	gct_symbols_only	harmonizome	auto	top_k	false	true	false	NA	NA	NA	NA	NA	full	NA	NA	NA	protein_coding
AB2	anchor	harmonizome	auto	true	1	stratum	SEX	gct_symbols_only	harmonizome	auto	top_k	false	true	false	NA	NA	NA	NA	NA	full	NA	NA	NA	protein_coding
AB3	anchor	harmonizome	r_limma_voom	true	1	stratum	SEX	gct_symbols_only	harmonizome	auto	top_k	false	true	false	NA	NA	NA	NA	NA	full	NA	NA	NA	protein_coding
AB4	anchor	harmonizome	lightweight	true	1	stratum	SEX	gct_symbols_only	legacy	signed_neglog10padj	threshold	true	true	true	0.05	NA	NA	NA	1.30103	selected	250	5	250	
AB5	parameter_sweep	harmonizome	lightweight	true	1	stratum	SEX	gct_symbols_only	legacy	signed_neglog10pvalue	threshold	true	true	true	0.05	NA	NA	NA	1.30103	selected	250	5	250	
AB6	parameter_sweep	harmonizome	lightweight	true	1	stratum	SEX	gct_symbols_only	legacy	stat	top_k	true	true	true	0.05	NA	NA	250	NA	selected	250	5	250	
AB7	parameter_sweep	harmonizome	lightweight	true	1	stratum	SEX	gct_symbols_only	legacy	logfc_times_neglog10p	top_k	true	true	true	0.05	NA	NA	250	NA	selected	250	5	250	
AB8	parameter_sweep	harmonizome	lightweight	true	1	stratum	SEX	gct_symbols_only	legacy	logfc	top_k	true	true	true	0.05	NA	0.25	250	NA	selected	250	5	250	
AB9	parameter_sweep	harmonizome	lightweight	true	1	stratum	SEX	gct_symbols_only	legacy	signed_neglog10padj	threshold	true	true	true	0.05	NA	NA	NA	1.30103	selected	150	5	150	
AB10	parameter_sweep	harmonizome	lightweight	true	1	stratum	SEX	gct_symbols_only	legacy	signed_neglog10padj	threshold	true	true	true	0.05	NA	NA	NA	1.30103	selected	300	5	300	
AB11	parameter_sweep	harmonizome	lightweight	true	1	stratum	SEX	gct_symbols_only	legacy	signed_neglog10padj	threshold	true	true	true	0.01	NA	NA	NA	2.0	selected	250	5	250	
AB12	parameter_sweep	harmonizome	lightweight	true	1	stratum	SEX	gct_symbols_only	legacy	signed_neglog10padj	threshold	true	true	true	0.05	NA	0.5	NA	1.30103	selected	250	5	250	
AB13	parameter_sweep	harmonizome	lightweight	true	1	stratum	SEX	gct_symbols_only	legacy	signed_neglog10padj	threshold	true	true	true	0.05	NA	NA	NA	1.30103	full	250	5	250	
AB14	defensible_alternative	modern	lightweight	false	0	contrast	SEX	gct_symbols_only	legacy	signed_neglog10padj	threshold	true	true	true	0.05	NA	NA	NA	1.30103	selected	250	5	250	
AB15	defensible_alternative	modern	lightweight	false	0	contrast	none	gct_symbols_only	legacy	signed_neglog10padj	threshold	true	true	true	0.05	NA	NA	NA	1.30103	selected	250	5	250	
AB16	defensible_alternative	modern	lightweight	false	0	stratum	SEX	gct_symbols_only	legacy	signed_neglog10padj	threshold	true	true	true	0.05	NA	NA	NA	1.30103	selected	250	5	250	
AB17	defensible_alternative	harmonizome	lightweight	true	1	stratum	none	gct_symbols_only	legacy	signed_neglog10padj	threshold	true	true	true	0.05	NA	NA	NA	1.30103	selected	250	5	250	
AB18	defensible_alternative	harmonizome	lightweight	true	1	stratum	SEX	gct_symbols_only	legacy	signed_neglog10padj	threshold	false	true	true	0.05	NA	NA	NA	1.30103	selected	250	5	250	
AB19	defensible_alternative	harmonizome	lightweight	true	1	stratum	SEX	gtf_annotated	legacy	signed_neglog10padj	threshold	true	true	true	0.05	NA	NA	NA	1.30103	selected	250	5	250	protein_coding
AB20	defensible_alternative	harmonizome	lightweight	true	1	stratum	SEX	gtf_annotated	legacy	signed_neglog10padj	threshold	true	false	true	0.05	NA	NA	NA	1.30103	selected	250	5	250	
AB21	defensible_alternative	harmonizome	r_limma_voom	true	1	stratum	SEX	gct_symbols_only	legacy	signed_neglog10padj	threshold	true	true	true	0.05	NA	NA	NA	1.30103	selected	250	5	250	
AB22	defensible_alternative	modern	r_limma_voom	false	0	contrast	SEX	gct_symbols_only	legacy	signed_neglog10padj	threshold	true	true	true	0.05	NA	NA	NA	1.30103	selected	250	5	250	
