model_id	model_family	enabled	require_gtf
AB1	age_binned	true	false
AB2	age_binned	true	false
AB3	age_binned	true	false
AB4	age_binned	true	false
AB5	age_binned	true	false
AB6	age_binned	true	false
AB7	age_binned	true	false
AB8	age_binned	true	false
AB9	age_binned	true	false
AB10	age_binned	true	false
AB11	age_binned	true	false
AB12	age_binned	true	false
AB13	age_binned	true	false
AB14	age_binned	true	false
AB15	age_binned	true	false
AB16	age_binned	true	false
AB17	age_binned	true	false
AB18	age_binned	true	false
AB19	age_binned	true	true
AB20	age_binned	true	true
AB21	age_binned	true	false
AB22	age_binned	true	false
AC1	continuous_age	true	false
AC2	continuous_age	true	false
AC3	continuous_age	true	true
AC4	continuous_age	true	true
AC5	continuous_age	true	false
AC6	continuous_age	true	false
AC7	continuous_age	true	false
AC8	continuous_age	true	false
AC9	continuous_age	true	false
AC10	continuous_age	true	false
HZ1	hz_notebook	true	false
