tissue_id	tissue_name
adipose_tissue	Adipose Tissue
adrenal_gland	Adrenal Gland
blood_vessel	Blood Vessel
bladder	Bladder
brain	Brain
breast	Breast
skin	Skin
blood	Blood
cervix_uteri	Cervix Uteri
colon	Colon
esophagus	Esophagus
fallopian_tube	Fallopian Tube
heart	Heart
kidney	Kidney
liver	Liver
lung	Lung
salivary_gland	Salivary Gland
muscle	Muscle
nerve	Nerve
ovary	Ovary
pancreas	Pancreas
pituitary	Pituitary
prostate	Prostate
small_intestine	Small Intestine
spleen	Spleen
stomach	Stomach
testis	Testis
thyroid	Thyroid
uterus	Uterus
vagina	Vagina
