model_id	model_family	analysis_target	summary	WORKFLOW_COVARIATES	ANNOTATION_MODE	EXTRACTOR_POSTPROCESS_MODE	EXTRACTOR_SCORE_MODE	EXTRACTOR_SELECT	EXTRACTOR_DISABLE_DEFAULT_EXCLUDES	EXTRACTOR_GMT_REQUIRE_SYMBOL	EXTRACTOR_EMIT_SMALL_GENE_SETS	EXTRACTOR_PADJ_MAX	EXTRACTOR_PVALUE_MAX	EXTRACTOR_MIN_ABS_LOGFC	EXTRACTOR_TOP_K	EXTRACTOR_MIN_SCORE	EXTRACTOR_GMT_SOURCE	EXTRACTOR_GMT_TOPK_LIST	EXTRACTOR_GMT_MIN_GENES	EXTRACTOR_GMT_MAX_GENES	EXTRACTOR_GMT_BIOTYPE_ALLOWLIST	rationale
AC1	core	continuous_age	canonical ranked continuous-age model with SEX adjustment	SEX	gct_symbols_only	harmonizome	auto	top_k	false	true	false	NA	NA	NA	NA	NA	full	NA	NA	NA	protein_coding	recommended default tissue aging model
AC2	sensitivity	continuous_age	same as AC1 but without SEX adjustment	none	gct_symbols_only	harmonizome	auto	top_k	false	true	false	NA	NA	NA	NA	NA	full	NA	NA	NA	protein_coding	tests whether SEX materially changes the tissue aging signature
AC3	annotation	continuous_age	same scoring intent as AC1 but with GTF annotation	SEX	gtf_annotated	harmonizome	auto	top_k	false	true	false	NA	NA	NA	NA	NA	full	NA	NA	NA	protein_coding	tests whether explicit annotation changes gene mapping or ranking
AC4	annotation	continuous_age	broad GTF-annotated ranked model without biotype restriction	SEX	gtf_annotated	harmonizome	auto	top_k	false	false	false	NA	NA	NA	NA	NA	full	NA	NA	NA		tests broader gene space sensitivity beyond protein-coding-only output
AC5	threshold	continuous_age	legacy threshold model using signed adjusted-p scoring	SEX	gct_symbols_only	legacy	signed_neglog10padj	threshold	true	true	true	0.05	NA	NA	NA	1.30103	selected	250	5	250	protein_coding	canonical thresholded directional tissue-aging signature
AC6	strictness	continuous_age	stricter threshold model emphasizing higher-confidence age associations	SEX	gct_symbols_only	legacy	signed_neglog10padj	threshold	true	true	true	0.01	NA	NA	NA	2.0	selected	250	5	250	protein_coding	tests robustness to more stringent significance filtering
AC7	strictness	continuous_age	threshold model with a stricter score floor instead of a logFC floor	SEX	gct_symbols_only	legacy	signed_neglog10padj	threshold	true	true	true	0.05	NA	NA	NA	2.0	selected	250	5	250	protein_coding	continuous-age logFC coefficients are small in scale, so strictness is applied through score thresholding rather than absolute logFC filtering
AC8	ranked	continuous_age	top-k model ranked by moderated t statistic	SEX	gct_symbols_only	legacy	stat	top_k	true	true	true	0.05	NA	NA	250	NA	selected	250	5	250	protein_coding	ranked alternative for models that prefer broad but bounded directional sets
AC9	ranked	continuous_age	top-k model ranked by logFC times significance	SEX	gct_symbols_only	legacy	logfc_times_neglog10p	top_k	true	true	true	0.05	NA	NA	250	NA	selected	250	5	250	protein_coding	tests combined effect-size and significance ranking
AC10	ranked	continuous_age	top-k model ranked by log fold-change without an explicit effect-size floor	SEX	gct_symbols_only	legacy	logfc	top_k	true	true	true	0.05	NA	NA	250	NA	selected	250	5	250	protein_coding	tests whether simpler effect-size ranking is sufficient for tissue aging GMTs while respecting the smaller coefficient scale of continuous-age regression
