gene_symbol	gene_id	logFC	AveExpr	t	P.Value	adj.P.Val	GMT_category
GNLY	ENSG00000115523.16	5.42630492051119	5.08401271311036	2.64227843290947	0.0167761943752569	0.660243041340828	
GZMB	ENSG00000100453.12	4.84052319639184	3.5257445008815	2.0504224192489	0.0555292678540381	0.745211507378172	
CD300E	ENSG00000186407.6	4.61429770805896	4.60726803031247	1.81889992037931	0.0859934118257763	0.775742663839279	
HCAR2	ENSG00000182782.7	4.57258396881258	4.69517721899164	2.97839954598699	0.008204010279989	0.587937385452236	
CXCL8	ENSG00000169429.10	4.50016451302133	1.98244293980508	1.70232810847366	0.106299357368461	0.795090463560043	
TKTL1	ENSG00000007350.16	4.45550690795717	1.46123833890981	2.14300120160509	0.0463638920447095	0.730394478143031	
ENSG00000261026	ENSG00000261026.1	4.44880720241491	-2.8866345564752	2.77973635325447	0.0125505489964335	0.654910465813895	
UICLM	ENSG00000233392.5	4.43658672092482	-1.36634849040547	1.96981070317444	0.0648134916599324	0.745713206213429	
LIPF	ENSG00000182333.14	4.42884311188762	-2.29557251424526	2.71590347271279	0.0143675852196857	0.660243041340828	
S1PR5	ENSG00000180739.13	4.22027671404484	2.74295158291596	2.10308125769795	0.0501322312814811	0.74211121257468	
PRF1	ENSG00000180644.7	4.20579277844233	6.05534704220832	3.04071126935164	0.0071714589225176	0.587937385452236	
GZMH	ENSG00000100450.12	4.19991105583083	2.18015266180267	1.5988380720965	0.127663451692557	0.810547593537358	
LIF	ENSG00000128342.4	4.09949867590063	0.495445704993392	1.86342321201383	0.0791854086153825	0.764140508343008	Up
HCAR3	ENSG00000255398.2	3.88424678543281	3.90951079805631	3.1590057928096	0.0055482485445437	0.587937385452236	
ZNF365	ENSG00000138311.15	3.8325922234717	-2.22244789610177	3.4864985591296	0.0027092756465329	0.493980634940797	
FCRL6	ENSG00000181036.13	3.80595698723941	1.27113297783243	1.58625073144562	0.130494777110059	0.815440702804684	
CLEC4F	ENSG00000152672.7	3.78478244381263	-3.23861699615096	1.71965743554832	0.103040149411267	0.7918572259772	
CD8A	ENSG00000153563.15	3.77755689013348	3.82261255590332	1.98862091778687	0.0625303102499237	0.745545087036725	
B3GAT1	ENSG00000109956.12	3.72356804706901	0.698982642821449	2.11903168968192	0.0485942609455262	0.740549997266429	
KIR3DL1	ENSG00000167633.18	3.70078864340272	0.496304362921748	1.30492409000359	0.208732525765711	0.864154420032803	
FCER1A	ENSG00000179639.10	3.6490997535923	-1.07546247753096	2.01419856529552	0.0595416755614242	0.745211507378172	
TRBC1	ENSG00000211751.9	3.63316244164828	3.88904820850639	1.7744926228078	0.0932901299869399	0.782544313225534	
PPP1R17	ENSG00000106341.10	3.62244405428459	-2.32841968378704	2.4114308504012	0.0270641086393456	0.683789076563805	
CD247	ENSG00000198821.10	3.61636707030005	4.85737582041907	2.36301954604448	0.0298692772188638	0.684784109967384	
MATK	ENSG00000007264.14	3.60622456655143	3.64049071259497	3.27702307383393	0.0042890830446004	0.558589991808549	
KIR2DS4	ENSG00000221957.8	3.59572219192414	0.958042800116136	1.28628913678355	0.215015548920327	0.867403092813162	
TRGV2	ENSG00000233306.2	3.59468251583951	-2.00949442459833	2.61487034453991	0.0177675801432044	0.660243041340828	
