dataset_id	organism	genome_build	matrix_url	meta_url	cell_id_column	cell_type_column	donor_column	value_type	funding	access	enabled	dataset_label	dataset_source
allen_biccn_human_m1_10x	human	hg38	https://idk-etl-prod-download-bucket.s3.amazonaws.com/aibs_human_m1_10x/matrix.csv	https://idk-etl-prod-download-bucket.s3.amazonaws.com/aibs_human_m1_10x/metadata.csv	sample_name	subclass_label	external_donor_name_label	counts	NIH BRAIN Initiative / BICCN	anon-public	true	AllenBICCN_HumanM1_10x	Allen Brain Cell Atlas / BICCN
allen_biccn_human_ctx_smartseq	human	hg38	https://idk-etl-prod-download-bucket.s3.amazonaws.com/aibs_human_ctx_smart-seq/matrix.csv	https://idk-etl-prod-download-bucket.s3.amazonaws.com/aibs_human_ctx_smart-seq/metadata.csv	sample_name	subclass_label	external_donor_name_label	counts	NIH BRAIN Initiative / BICCN	anon-public	true	AllenBICCN_HumanCtxSmartseq	Allen Brain Cell Atlas / BICCN
allen_biccn_MOUSE_ctx_hpf_10x	mouse	mm10	https://idk-etl-prod-download-bucket.s3.amazonaws.com/aibs_mouse_ctx-hpf_10x/matrix.csv	https://idk-etl-prod-download-bucket.s3.amazonaws.com/aibs_mouse_ctx-hpf_10x/metadata.csv	sample_name	subclass_label	external_donor_name_label	counts	NIH BRAIN Initiative / BICCN	anon-public	true	AllenBICCN_MouseCtxHPF_10x	Allen Brain Cell Atlas / BICCN
