local_path	source_uri
# Consumed by geneset-extractor-dev/run/refresh_model_metadata_and_provenance.sh via
#   --local_input_source_map_tsv. Maps each collaborator-local input path (as it appears in the
#   UN-sanitized geneset.provenance.json / geneset.meta.json) to a public, resolvable source
#   identifier, so a third party can identify what data they would need to rerun the pipeline.
#
# Source identifiers are grounded in the actual Kids First portal manifests under
#   geneset-extractor-dev/KidsFirst_Study_Exports/ (Access URL = drs://nci-crdc.datacommons.io/dg.4DFC/;
#   File ID = GF_*; Study Name column) and the GTEx v10 public downloads.
#
# NOTE: The 20260704 package already replaced these local paths with a placeholder, so this map
#   must be applied against the UN-sanitized outputs (KidsFirst_submission_20260702.zip or the
#   cluster outputs under .../KidsFirst_non_CBTN/outputs/analysis/). Verify the base prefix below
#   matches your provenance before running.
#
# base = /lab-share/RC-Data-Science-e2/Groups/gnomad/kyuryung/geneset-extractor-dev/KidsFirst_non_CBTN/outputs/analysis

# ---- KF-TALL-vs-T21 : tumor KF-TALL + reference KF-CHDALL (both Kids First DRC) ----
/lab-share/RC-Data-Science-e2/Groups/gnomad/kyuryung/geneset-extractor-dev/KidsFirst_non_CBTN/outputs/analysis/KF-TALL-vs-T21/de_inputs/combined_counts.tsv	Kids First DRC RSEM gene expression (portal https://portal.kidsfirstdrc.org ; DRS drs://nci-crdc.datacommons.io/dg.4DFC/) — tumor study: "Comprehensive Genomic Profiling to Improve Prediction of Clinical Outcome for Children with T-cell Acute Lymphoblastic Leukemia" | reference study: "Kids First: Genomic Analysis of Congenital Heart Defects and Acute Lymphoblastic Leukemia in Children with Down Syndrome"
/lab-share/RC-Data-Science-e2/Groups/gnomad/kyuryung/geneset-extractor-dev/KidsFirst_non_CBTN/outputs/analysis/KF-TALL-vs-T21/de_inputs/sample_metadata.tsv	Kids First DRC clinical/biospecimen metadata (portal https://portal.kidsfirstdrc.org) — tumor study: T-cell ALL cohort ; reference study: Down syndrome CHD/ALL cohort
