comparison_id	tumor_label	tumor_study	reference_label	reference_source	disease_label	model_eligible
KF-TALL-vs-GTEx	T-ALL	KF-TALL	GTEx blood	GTEx	T-cell acute lymphoblastic leukemia	HZ1
KF-TALL-vs-T21	T-ALL	KF-TALL	Down syndrome blood	KF-CHDALL	T-cell acute lymphoblastic leukemia	HZ1
KF-TALL-vs-MMC	T-ALL	KF-TALL	medulloblastoma SHH	KF-MMC	T-cell acute lymphoblastic leukemia	HZ1
KF-CHDALL-vs-GTEx	Down syndrome blood	KF-CHDALL	GTEx blood	GTEx	Down syndrome (hematologic)	HZ1
KF-NBL-vs-GTEx	neuroblastoma	KF-NBL	GTEx adrenal gland	GTEx	neuroblastoma	HZ1
KF-ESGR-vs-GTEx	Ewing sarcoma	KF-ESGR	GTEx muscle	GTEx	Ewing sarcoma	HZ1
KF-MMC-vs-GTEx	medulloblastoma SHH	KF-MMC	GTEx brain cerebellum	GTEx	medulloblastoma (SHH subtype)	HZ1
KF-MMC-vs-GTEx-brain	medulloblastoma SHH	KF-MMC	GTEx brain all	GTEx	medulloblastoma (SHH subtype)	HZ1
CBTN-GBM-vs-brain	glioblastoma	CBTN	GTEx brain all	GTEx	glioblastoma	HZ1,HZ2
CBTN-LGG-vs-brain	low-grade glioma	CBTN	GTEx brain all	GTEx	low-grade glioma	HZ1,HZ2
CBTN-MB-vs-brain	medulloblastoma	CBTN	GTEx brain all	GTEx	medulloblastoma	HZ1,HZ2
CBTN-ATRT-vs-brain	atypical teratoid rhabdoid tumor	CBTN	GTEx brain all	GTEx	ATRT	HZ1,HZ2
CBTN-EPN-vs-brain	ependymoma	CBTN	GTEx brain all	GTEx	ependymoma	HZ1,HZ2
CBTN-HGG-vs-brain	high-grade glioma	CBTN	GTEx brain all	GTEx	high-grade glioma	HZ1,HZ2
CBTN-CRANIO-vs-brain	craniopharyngioma	CBTN	GTEx brain all	GTEx	craniopharyngioma	HZ1,HZ2
