gene_symbol	gene_id	logFC	AveExpr	t	P.Value	adj.P.Val	GMT_category
ENSG00000213058	ENSG00000213058.3	4.5773352683643	-1.71097515170628	3.70517038188066	0.0011021977832598	0.647449391488948	
ENSG00000224114	ENSG00000224114.1	4.5034550806956	-0.314834366557965	4.31503419170829	0.0002358708281832	0.537459655265564	
SNORD3C	ENSG00000264940.4	3.81628939460687	-5.37416477911107	2.52650231625688	0.0185052739751291	0.99874854604304	
LINC01291	ENSG00000204792.2	3.74958794295444	-1.8989194894866	2.66563893873267	0.0135116359364681	0.99874854604304	Up
XIST	ENSG00000229807.10	3.59940388372194	0.606714768545268	2.06465904695699	0.0498917270098438	0.99874854604304	
BPIFB2	ENSG00000078898.6	3.2417304680157	-3.99170572902062	1.52520252973563	0.140244282410484	0.99874854604304	Up
MTND1P23	ENSG00000225972.1	3.13210275968289	1.29946925408346	2.36094612959018	0.0266656398292148	0.99874854604304	Up
PRSS16	ENSG00000112812.15	3.05489423128497	-1.4444654488758	2.18320681777197	0.0390045647563938	0.99874854604304	Up
BPIFB1	ENSG00000125999.10	2.79795768015381	-4.26525031142401	1.5066678538598	0.144910995795482	0.99874854604304	Up
TMEM185AP1	ENSG00000235254.3	2.75901139942568	-5.20225075101644	2.71826499711655	0.0119765569576736	0.99874854604304	
S100A7	ENSG00000143556.8	2.67780590922077	-2.06167064185158	1.67351403879694	0.107176943149178	0.99874854604304	
KLHDC7A	ENSG00000179023.8	2.66711086887633	-2.22763503475454	1.95322720877599	0.0625145919061355	0.99874854604304	Up
PLA2G4D	ENSG00000159337.6	2.60621651729628	-2.77564185659694	1.47669350146111	0.152724923050747	0.99874854604304	
KRT79	ENSG00000185640.5	2.59668435213206	-1.80909671303058	1.53723747144181	0.137280417826329	0.99874854604304	
CRISP2	ENSG00000124490.13	2.45862870624579	-3.08843619342251	2.12719751688641	0.0438495620725589	0.99874854604304	
EPIST	ENSG00000249082.2	2.44181676913802	-0.228379523415951	1.48815473027853	0.149697758160718	0.99874854604304	
FOXN1	ENSG00000109101.7	2.41835646035566	-1.49836496422605	1.15901472930771	0.257821855610113	0.99874854604304	
SPTSSB	ENSG00000196542.8	2.39199302180373	-0.730042664474653	1.96874827956419	0.0606025270031519	0.99874854604304	
CYP11B1	ENSG00000160882.11	2.38794169883852	-2.8692451145305	2.5780410906822	0.0164827917312514	0.99874854604304	
CLDN8	ENSG00000156284.5	2.38259915592198	-3.03246937324661	1.51142621495093	0.14370101203652	0.99874854604304	
SCGB3A1	ENSG00000161055.3	2.36290981888024	-3.13093640874303	1.60155822597594	0.122299878946288	0.99874854604304	
BARX2	ENSG00000043039.6	2.34394505870525	0.47403756348691	1.05201128688495	0.303243659524602	0.99874854604304	Up
PLEKHS1	ENSG00000148735.14	2.34180875544914	-3.47621871666498	2.12850064305033	0.0437309556813694	0.99874854604304	Up
SYCE1	ENSG00000171772.15	2.34025959926996	-1.03605036834877	3.30470530122849	0.0029702404654892	0.856518342231588	
KLK12	ENSG00000186474.15	2.33634217304295	-0.264421603869228	0.967420037191236	0.34295661393434	0.99874854604304	
SLC6A11	ENSG00000132164.9	2.30034397074745	-0.96827868081171	1.32992567786958	0.1960108665574	0.99874854604304	
BRINP1	ENSG00000078725.12	2.29444074650467	-2.92697329304391	2.35425475846336	0.0270564109246664	0.99874854604304	Up
CIDEA	ENSG00000176194.17	2.21491502390345	-1.88162754216802	1.95542350581379	0.0622408439914381	0.99874854604304	
TRPC5	ENSG00000072315.3	2.18841863219595	-4.81955530175285	1.7423452395362	0.0942157428745836	0.99874854604304	
IRX5	ENSG00000176842.14	2.18169753544798	-1.41609375839429	1.37084925202445	0.183072587784191	0.99874854604304	
KLRG2	ENSG00000188883.4	2.17081401691658	-1.80505976423227	1.55018263129304	0.134149922771191	0.99874854604304	
SOX21	ENSG00000125285.5	2.16389117612923	-2.10016766083758	1.05201490527985	0.303242033148976	0.99874854604304	
C16orf89	ENSG00000153446.15	2.14731698655764	-0.1336242115043	4.35037333497085	0.0002155836184995	0.537459655265564	
DSG1	ENSG00000134760.5	2.1432581134855	0.453368172274596	1.34415229099525	0.191434422670484	0.99874854604304	
SLC15A1	ENSG00000088386.16	2.13587527808316	-2.21211989810356	1.50061679948906	0.146461663951054	0.99874854604304	
ENSG00000243491	ENSG00000243491.1	2.1231597042683	-3.42024009748345	1.92328789759735	0.066353097378891	0.99874854604304	
SPRR2C	ENSG00000229035.2	2.11664487479012	-2.79697527960878	1.02572024662445	0.315223799214586	0.99874854604304	
MUC7	ENSG00000171195.10	2.11603685042886	-1.88173997092362	1.52824219277441	0.139490802353144	0.99874854604304	
GSTT2	ENSG00000099984.11	2.10941176979234	-2.65283986907307	2.76912309916708	0.0106503533158894	0.99874854604304	
LGALS7B	ENSG00000178934.4	2.10220953091151	0.323801811209488	1.18740289429425	0.246657195976191	0.99874854604304	Up
SPRR2F	ENSG00000244094.1	2.10162370120907	-2.00947479563362	1.06288009017513	0.298386194327313	0.99874854604304	
LRRC15	ENSG00000172061.8	2.09975671757633	-2.25794884355672	3.01437242080394	0.0059860116368198	0.966752749773711	Down
SERPINB11	ENSG00000206072.12	2.08886521401374	-2.68109374426324	1.02180576705044	0.317035445732986	0.99874854604304	
LRRC26	ENSG00000184709.7	2.08058828311025	-4.02875597706031	1.59738172268654	0.123229628315578	0.99874854604304	Up
CCDC190	ENSG00000185860.13	2.07288055020247	-2.13504648937246	1.73393434154164	0.0957244030596462	0.99874854604304	Up
SERPINB12	ENSG00000166634.6	2.06898262238174	-3.98922247818624	1.2300612501682	0.23056365987206	0.99874854604304	Up
OTX1	ENSG00000115507.9	2.05419869036037	-3.16778441082098	1.87560278848637	0.0728930709339029	0.99874854604304	Up
WFDC21P	ENSG00000261040.6	2.04403310541786	0.0272357093531562	1.27129228315369	0.215775245323495	0.99874854604304	
LGR6	ENSG00000133067.17	2.0391274847269	1.58306663488927	2.3888398168953	0.0250918594559384	0.99874854604304	
PLA2G4E	ENSG00000188089.13	2.02740507840108	-1.91058408791498	1.30406482902286	0.204547508370497	0.99874854604304	
LGALS9C	ENSG00000171916.16	2.02165911305818	-2.29256627965822	0.991370785528734	0.331368437145357	0.99874854604304	
SLC44A5	ENSG00000137968.16	2.02103562003145	0.52455240832067	1.85583565044853	0.0757644569747452	0.99874854604304	
WIF1	ENSG00000156076.9	2.01948644418752	-2.94786866094866	2.05663864468214	0.0507180798275466	0.99874854604304	
FAM106A	ENSG00000273018.5	2.01589576504946	-0.637169089985172	2.95842680814513	0.0068363956658015	0.971605353217942	Up
ICOSLG	ENSG00000160223.16	2.00789309038289	-1.78843207338206	2.17423779498457	0.039746429973288	0.99874854604304	Up
OR7E91P	ENSG00000205847.5	2.00705699445362	-4.31652674940056	1.45581152111576	0.158367459275576	0.99874854604304	
ENSG00000260581	ENSG00000260581.1	2.00394963541222	-1.93850993605786	1.44620568658921	0.161018835515455	0.99874854604304	
SLC46A2	ENSG00000119457.7	2.00271653762593	-2.67937141820558	1.56956815165778	0.129571946199106	0.99874854604304	
OTOP2	ENSG00000183034.12	1.98788812574862	-3.58741497905172	1.36657396965581	0.184391987257679	0.99874854604304	
ENSG00000237846	ENSG00000237846.1	1.97669007029603	-1.23131909211921	2.75527550283433	0.0109970201362724	0.99874854604304	
SPAG17	ENSG00000155761.13	1.97640422052329	0.57123355343155	1.55906009100434	0.132037215049307	0.99874854604304	
TEX101	ENSG00000131126.18	1.97373714087179	-3.33081974067799	1.42514956539315	0.166955375124004	0.99874854604304	
SYT8	ENSG00000149043.16	1.96647150495281	-0.41039470086413	0.97481749907037	0.339348412287584	0.99874854604304	
DAPL1	ENSG00000163331.11	1.93547071085168	-0.226434538462185	0.98497713109141	0.334435264764373	0.99874854604304	
LINC01395	ENSG00000281097.1	1.93186793740552	-3.58993162834156	1.27115823881857	0.215822119346788	0.99874854604304	
RPL29P4	ENSG00000230202.1	1.92974100054168	1.15040535430244	3.14608346309215	0.0043655883117418	0.912289806070747	
GABRQ	ENSG00000268089.2	1.91578405241803	-2.90243036260669	1.41659662520818	0.169416198103081	0.99874854604304	
WDR72	ENSG00000166415.14	1.89589974602127	-2.94642743262949	1.67964317697789	0.105964801606309	0.99874854604304	Up
SERPINB7	ENSG00000166396.12	1.89523044240567	-2.8903268688088	1.56938983860829	0.129613460735725	0.99874854604304	
MAB21L3	ENSG00000173212.4	1.89442278625837	-1.86502537026965	1.03211430678559	0.312280166179342	0.99874854604304	
PNLIPRP3	ENSG00000203837.4	1.89248020192239	-3.07502661767893	1.3836294661539	0.179172802870001	0.99874854604304	Up
ALOX12B	ENSG00000179477.9	1.87920652280511	-2.13698592192576	1.24543042640124	0.224963908570381	0.99874854604304	
DEFB1	ENSG00000164825.3	1.87318437156073	-1.14268993502332	0.981886285238855	0.33592479765828	0.99874854604304	
SPRR2E	ENSG00000203785.8	1.87181016186598	1.62582513120959	0.846790689046639	0.405454239251576	0.99874854604304	
PRM2	ENSG00000122304.10	1.86234442368742	-1.96619902200534	2.73948593107551	0.0114052936125386	0.99874854604304	Down
ISL1	ENSG00000016082.14	1.85283992657343	-3.62334576844796	1.1884861361666	0.246238413447596	0.99874854604304	
ATP12A	ENSG00000075673.11	1.84531469352338	-1.66588819699066	0.94894274411739	0.352082634057391	0.99874854604304	
MUC5B	ENSG00000117983.17	1.84397317813262	-0.0921563846527881	1.17105335444104	0.253042488965949	0.99874854604304	
TMPRSS11F	ENSG00000198092.5	1.83755276809618	-2.15334525918519	0.894662130022123	0.379828861240405	0.99874854604304	
RASSF6	ENSG00000169435.13	1.82897752517582	0.655111077731926	2.26691847676575	0.0326608696119739	0.99874854604304	
FBLL1	ENSG00000188573.7	1.82026022810247	-2.02669992731497	2.44809299857471	0.0220285318119859	0.99874854604304	
FADS6	ENSG00000172782.11	1.81945412474341	-2.84640024833619	1.22074748022328	0.234008028714523	0.99874854604304	
MYB	ENSG00000118513.18	1.81701077444214	-0.0701894476269752	2.14218792089913	0.0425024722630359	0.99874854604304	Up
PIGR	ENSG00000162896.5	1.81605230027385	-0.359543688913591	1.59751776360441	0.123199251470514	0.99874854604304	Up
GRIA2	ENSG00000120251.18	1.80225399800813	-1.56445709976901	1.89571528818324	0.0700691359740609	0.99874854604304	Up
UGT1A10	ENSG00000242515.5	1.79690941682302	-3.89029696074267	1.22599097043777	0.232064168499573	0.99874854604304	Up
KRT16P1	ENSG00000214856.11	1.78324976885101	-2.81039570852922	0.932728472262807	0.360224451569728	0.99874854604304	
IGLV1-40	ENSG00000211653.2	1.77230045737394	-1.73945610639285	1.41067068885687	0.171138085436568	0.99874854604304	
LINC00330	ENSG00000235097.1	1.75078906423359	-2.96919409835507	0.964738844608136	0.344270812910743	0.99874854604304	
ENSG00000264177	ENSG00000264177.1	1.74527597019563	-3.67159923890949	1.17242357555403	0.252502692744989	0.99874854604304	
SERPINB4	ENSG00000206073.10	1.72564115431967	-1.42587746229603	0.665229917908119	0.512229058996638	0.99874854604304	
KRTDAP	ENSG00000188508.10	1.7164028614643	-0.193908406994266	1.53174829137311	0.138625818419925	0.99874854604304	
ISL1-DT	ENSG00000259663.2	1.70928277168602	-3.88693106487517	1.16105480367009	0.257007287362481	0.99874854604304	
ATP10B	ENSG00000118322.12	1.69747032521682	0.885229773153834	1.14124168105155	0.264998970007184	0.99874854604304	
