comparison	gmt_set	status	total_genes	gmt_set_size	top_250_in_set	bottom_250_in_set	jaccard_distance	error
Uterus 20-29 vs 40-49	Up	Success	15785.0	250	13.0	2.0	0.9733	
Uterus 20-29 vs 40-49	Down	Success	15785.0	250	2.0	4.0	0.9919	
Thyroid 20-29 vs 40-49	Up	Success	17782.0	250	16.0	0.0	0.9669	
Thyroid 20-29 vs 40-49	Down	Success	17782.0	250	0.0	35.0	0.9247	
Kidney 20-29 vs 50-59	Up	File not found		250				File not found: /chembio/datasets/csdev/VD/data/explore/CFKC/GTEx/Kidney_20-29_vs_50-59/de_genes_with_gmt.tsv
Kidney 20-29 vs 50-59	Down	File not found		250				File not found: /chembio/datasets/csdev/VD/data/explore/CFKC/GTEx/Kidney_20-29_vs_50-59/de_genes_with_gmt.tsv
SalivaryGland 20-29 vs 40-49	Up	File not found		250				File not found: /chembio/datasets/csdev/VD/data/explore/CFKC/GTEx/SalivaryGland_20-29_vs_40-49/de_genes_with_gmt.tsv
SalivaryGland 20-29 vs 40-49	Down	File not found		250				File not found: /chembio/datasets/csdev/VD/data/explore/CFKC/GTEx/SalivaryGland_20-29_vs_40-49/de_genes_with_gmt.tsv
Vagina 20-29 vs 70-79	Up	File not found		250				File not found: /chembio/datasets/csdev/VD/data/explore/CFKC/GTEx/Vagina_20-29_vs_70-79/de_genes_with_gmt.tsv
Vagina 20-29 vs 70-79	Down	File not found		250				File not found: /chembio/datasets/csdev/VD/data/explore/CFKC/GTEx/Vagina_20-29_vs_70-79/de_genes_with_gmt.tsv
Spleen 20-29 vs 50-59	Up	File not found		250				File not found: /chembio/datasets/csdev/VD/data/explore/CFKC/GTEx/Spleen_20-29_vs_50-59/de_genes_with_gmt.tsv
Spleen 20-29 vs 50-59	Down	File not found		250				File not found: /chembio/datasets/csdev/VD/data/explore/CFKC/GTEx/Spleen_20-29_vs_50-59/de_genes_with_gmt.tsv
