model_id	model_family	enabled
AB1	age_binned	true
AB2	age_binned	true
AB3	age_binned	true
AB4	age_binned	true
AB5	age_binned	true
AB6	age_binned	true
AB7	age_binned	true
AB8	age_binned	true
AB9	age_binned	true
AB10	age_binned	true
AB11	age_binned	true
AB12	age_binned	true
AB13	age_binned	true
AB14	age_binned	true
AB15	age_binned	true
AB16	age_binned	true
AB17	age_binned	true
AB18	age_binned	true
AB19	age_binned	true
AB20	age_binned	true
AB21	age_binned	true
AB22	age_binned	true
AC1	continuous_age	true
AC2	continuous_age	true
AC3	continuous_age	true
AC4	continuous_age	true
AC5	continuous_age	true
AC6	continuous_age	true
AC7	continuous_age	true
AC8	continuous_age	true
AC9	continuous_age	true
AC10	continuous_age	true
