gene_symbol	gene_id	logFC	AveExpr	t	P.Value	adj.P.Val
HBB	ENSG00000244734.3	4.11282517015247	4.40994337694179	3.66371890788714	0.00576056062426725	0.976043293647159
MAGEA9	ENSG00000123584.7	3.98882305279292	-1.80916577678775	2.42587215824697	0.0398173187480849	0.976043293647159
HBA2	ENSG00000188536.12	3.97117042341961	2.66278249153638	4.64767683607802	0.00141307195490023	0.976043293647159
PTGS2	ENSG00000073756.11	3.55159531328226	0.583686344071547	4.82918994809854	0.00110727197607485	0.976043293647159
CXADRP1	ENSG00000214319.2	2.91296410410513	-0.884228881102804	3.02453433776866	0.0153766226478153	0.976043293647159
MFAP5	ENSG00000197614.10	2.70686321580259	1.31386979481716	4.98527349201843	0.000901251303285157	0.976043293647159
PI15	ENSG00000137558.7	2.66405833472604	1.04443251696831	2.25096984187271	0.0526659367967997	0.976043293647159
MAHAC	ENSG00000229611.1	2.60774716269696	-0.349377034125104	1.82888607401188	0.102707354092502	0.976043293647159
HBA1	ENSG00000206172.8	2.5673612544497	-0.00916060641849779	3.83595793194678	0.00445987727374246	0.976043293647159
SIGLEC14	ENSG00000254415.3	2.54024541304633	0.554303625214773	1.35831460333607	0.209396477413062	0.976043293647159
TBC1D3L	ENSG00000274512.5	2.52243381614245	1.65162604652809	1.25985486814043	0.241288241790902	0.976043293647159
GDF15	ENSG00000130513.6	2.47702667473549	0.176281541159119	3.90452850025765	0.00403243542386387	0.976043293647159
HPSE	ENSG00000173083.14	2.36517134605854	1.19511070803388	3.85269839814956	0.00435125447997195	0.976043293647159
L1CAM	ENSG00000198910.12	2.27665316761441	1.1942182088087	6.26351922739284	0.000189630492635664	0.976043293647159
LINC01784	ENSG00000228338.1	2.24639653079709	-0.287875353956933	1.28446010860211	0.232958260693377	0.976043293647159
MEOX1	ENSG00000005102.12	2.10912102198648	0.0104606599633857	2.51620129268587	0.0344606357392081	0.976043293647159
TPSD1	ENSG00000095917.13	2.09541628168811	0.0694533188744013	2.90572664707792	0.018540975656647	0.976043293647159
SERPINE1	ENSG00000106366.8	2.04593032657367	4.39118368951912	2.91952342239366	0.0181413413674932	0.976043293647159
ENSG00000280071	ENSG00000280071.3	1.97923129786268	1.94052347575795	1.24617942020133	0.246024421028024	0.976043293647159
WFDC3	ENSG00000124116.18	1.87308552942867	5.41784570404577	3.53178002273211	0.00702680821364838	0.976043293647159
PRR33	ENSG00000283787.1	1.8235727810558	1.9891690154591	2.70141754022144	0.0256402680328145	0.976043293647159
SHISA3	ENSG00000178343.4	1.80237982719222	0.393884523084919	4.49759042384989	0.00173507667788841	0.976043293647159
ENSG00000272109	ENSG00000272109.1	1.80020706027144	-0.0623241340056386	3.1460260456432	0.0127149554784044	0.976043293647159
IL6	ENSG00000136244.11	1.78839546345306	0.159209767340369	1.37421984714532	0.204597500675329	0.976043293647159
MAP3K2-DT	ENSG00000236682.1	1.78095247043166	1.22498203247739	1.77380829745895	0.111896315700066	0.976043293647159
VEGFA	ENSG00000112715.21	1.77623085814917	4.15932689826399	2.44881362789451	0.038382419063239	0.976043293647159
ENSG00000232135	ENSG00000232135.1	1.75631469163375	-0.185777214993354	1.78120961002363	0.110618296769918	0.976043293647159
GH1	ENSG00000259384.6	1.74843204955486	0.287434251372488	1.58702444595402	0.149033116204284	0.976043293647159
ACTN3-AS1	ENSG00000250105.1	1.73083671841159	0.279496643923967	2.87016998062874	0.0196132391489955	0.976043293647159
