input_id	source_uri_or_access_instructions	version_release	checksum	access_method	smoke_full	workflow_stage	redistribution_status	committed_fixture	fixture_path
igvf_processed_differential_expression	https://data.igvf.org/ (public released IGVF tabular files)	released; accessed 2026-08-19		public_https	full	workflow_input	not_redistributable	false	
IGVFFI0331FOUT	https://api.data.igvf.org/tabular-files/IGVFFI0331FOUT/@@download/IGVFFI0331FOUT.tsv.gz	released; accessed 2026-08-19	sha256:42c9e70758a4359c986a01c4fcea54bb80504c22410dd47d216535f623f04081	public_https	full	workflow_input	not_redistributable	false	
IGVFFI3445AYOJ	https://api.data.igvf.org/tabular-files/IGVFFI3445AYOJ/@@download/IGVFFI3445AYOJ.tsv.gz	released; accessed 2026-08-19	sha256:02e42e7853968dc3b3ef95211a92dde2db417f46321a5529d44753bead2948a5	public_https	full	workflow_input	not_redistributable	false	
IGVFFI8750MLNP	https://api.data.igvf.org/tabular-files/IGVFFI8750MLNP/@@download/IGVFFI8750MLNP.tsv.gz	released; accessed 2026-08-19	sha256:25593e0395085e04f267ccc5f99f5bb4ba6bbcf4866b4c3b8f473b37dfceaeef	public_https	full	workflow_input	not_redistributable	false	
IGVFFI4354THUZ	https://api.data.igvf.org/tabular-files/IGVFFI4354THUZ/@@download/IGVFFI4354THUZ.tsv.gz	released; accessed 2026-08-19	sha256:0b0a8f5c5ab59f1d69734a876e8800bf9912c5f1eda1639724addfa97904d07f	public_https	full	workflow_input	not_redistributable	false	
IGVFFI3272UWTY	https://api.data.igvf.org/tabular-files/IGVFFI3272UWTY/@@download/IGVFFI3272UWTY.tsv.gz	released; accessed 2026-08-19	sha256:8d8ac98c03ca6bd95680bac7b626852304dddcb8ad105a5955ec697191128a86	public_https	full	workflow_input	not_redistributable	false	
IGVFFI1867ROFS	https://api.data.igvf.org/tabular-files/IGVFFI1867ROFS/@@download/IGVFFI1867ROFS.csv.gz	released; accessed 2026-08-19	sha256:7067a7e3832bb2d5eeb709a0cedc3c33982e2f0061b90806928e2c5195a927da	public_https	full	workflow_input	not_redistributable	false	
IGVFFI0726ZROO	https://api.data.igvf.org/tabular-files/IGVFFI0726ZROO/@@download/IGVFFI0726ZROO.csv.gz	released; accessed 2026-08-19	sha256:37867b9e51ddd638990439783f79959cba798ebede6e11d19e9e73ae35ae8684	public_https	full	workflow_input	not_redistributable	false	
IGVFFI6770EFUQ	https://api.data.igvf.org/tabular-files/IGVFFI6770EFUQ/@@download/IGVFFI6770EFUQ.csv.gz	released; accessed 2026-08-19	sha256:ff7b8fa5790d7e7be1c33573b81979df0b024de90ca950c38fa28d213928a91f	public_https	full	workflow_input	not_redistributable	false	
IGVFFI8786YBUA	https://api.data.igvf.org/tabular-files/IGVFFI8786YBUA/@@download/IGVFFI8786YBUA.csv.gz	released; accessed 2026-08-19	sha256:b6e760016179c268b1f35f5bd25e6492ab3e1dde0cbc46e55013a5e2a4b6fedb	public_https	full	workflow_input	not_redistributable	false	
IGVFFI7266NWTF	https://api.data.igvf.org/tabular-files/IGVFFI7266NWTF/@@download/IGVFFI7266NWTF.csv.gz	released; accessed 2026-08-19	sha256:add81283dbf28f52a1711d362e78b8b79db8b9b629d275610b42d37c607e6b3a	public_https	full	workflow_input	not_redistributable	false	
IGVFFI5883SVNN	https://api.data.igvf.org/tabular-files/IGVFFI5883SVNN/@@download/IGVFFI5883SVNN.csv.gz	released; accessed 2026-08-19	sha256:056d95cc3145bd994a158894e5ed33e633125807d9687402dfd5ca28b2340ab9	public_https	full	workflow_input	not_redistributable	false	
IGVFFI0068OWUG	https://api.data.igvf.org/tabular-files/IGVFFI0068OWUG/@@download/IGVFFI0068OWUG.csv.gz	released; accessed 2026-08-19	sha256:bfb495b48474440203ddcc5568c1dd6ec1eb03c168a1b59f84a650f4076c645d	public_https	full	workflow_input	not_redistributable	false	
IGVFFI2903THXX	https://api.data.igvf.org/tabular-files/IGVFFI2903THXX/@@download/IGVFFI2903THXX.tsv.gz	released; accessed 2026-08-19	sha256:c39598443c772f577c6682f7a8443490d4b2cb8daf3a891e6fadd5a745b2ff62	public_https	smoke,full	workflow_input	not_redistributable	true	tests/fixtures/igvf_perturbseq_smoke.tsv
IGVFFI6830YLEK	https://api.data.igvf.org/tabular-files/IGVFFI6830YLEK/@@download/IGVFFI6830YLEK.tsv.gz	released; accessed 2026-08-19	sha256:176a720d4042669a2c0126ba0cc8cc06f4ea5f3a45a0f089629c152b3bc72ca5	public_https	full	workflow_input	not_redistributable	false	
IGVFFI0830FXFI	https://api.data.igvf.org/tabular-files/IGVFFI0830FXFI/@@download/IGVFFI0830FXFI.csv.gz	released; accessed 2026-08-19	sha256:e4a68a15db8609b4f57b0e1387da0848f7447346fec2fbf19cc7c9ffdc41477f	public_https	full	workflow_input	not_redistributable	false	
IGVFFI5198JCCU	https://api.data.igvf.org/tabular-files/IGVFFI5198JCCU/@@download/IGVFFI5198JCCU.tsv.gz	released; accessed 2026-08-19	sha256:cd629447935d7938df2eaa90d19005543a8477f9303947950948d58d5e71899f	public_https	full	workflow_input	not_redistributable	false	
