gene_symbol	gene_id	logFC	AveExpr	t	P.Value	adj.P.Val	GMT_category
SLC6A15	ENSG00000072041.16	3.70402684394126	-0.703053163036264	3.80337421996921	0.0005979582228663	0.146303936573297	Up
FAM163B	ENSG00000196990.8	3.19960173030586	-2.02692415772756	2.08317205674959	0.0452072187558763	0.31822164420593	Up
CYP4F24P	ENSG00000267594.5	2.89207355850562	1.77718645356544	1.07144692452656	0.291884823791471	0.625545015710965	
CRABP1	ENSG00000166426.7	2.77542804002838	0.842107429071071	1.50073722982168	0.143106344336475	0.472483951133594	Up
COL19A1	ENSG00000082293.12	2.76158391213828	-1.60322762781854	1.77323300720872	0.0855912448273712	0.393579117309461	Up
MGAT4C	ENSG00000182050.13	2.72940203686426	0.46862090151577	2.52156392401664	0.0167909455046802	0.234993105364801	Up
TFAP2B	ENSG00000008196.12	2.5131356165385	0.908197382813088	2.84209909716828	0.0076932046925156	0.200299261915467	Up
IL1RAPL2	ENSG00000189108.12	2.49165690602371	-1.67582935771991	1.73012761886827	0.093123698892159	0.405508826313559	Up
SLC35F3	ENSG00000183780.12	2.46745470060683	-0.461878191550048	2.57626447498078	0.0147430080554304	0.226390740794177	Up
CLEC20A	ENSG00000188585.7	2.43062669150496	-2.04361355819332	1.22850400156447	0.228106641956386	0.566903238870036	
CFHR4	ENSG00000134365.12	2.42815079575615	-3.40176235791812	1.46808174075233	0.151723666975984	0.483361759895207	Up
GABRG1	ENSG00000163285.7	2.38162921202078	1.49072908765722	2.07988258641793	0.0455274201826561	0.318805701182749	Up
EDAR	ENSG00000135960.9	2.37707466935601	-1.25000146433023	1.43460700518966	0.160981449332629	0.492384906976908	Up
CSMD3	ENSG00000164796.17	2.37015513234904	-1.06545320938455	2.27171761705001	0.0298776453783091	0.281479651323188	Up
RASEF	ENSG00000165105.9	2.30478766363697	2.7245097861157	1.99856200415403	0.0541043202400152	0.334800418912957	Up
OR52N3P	ENSG00000236965.4	2.24935510415683	-2.6039163623504	1.38378378382829	0.175884073523187	0.509704292913651	
PCDH8	ENSG00000136099.13	2.22675774746224	0.810903104769185	1.30569093322727	0.20085281397704	0.540161498801554	Up
HOXD10	ENSG00000128710.5	2.20796225562493	1.77672769034118	3.75584442559312	0.0006824085915626	0.146303936573297	Up
GRID2	ENSG00000152208.12	2.18384278684394	-1.2150181663487	2.7879021671978	0.0088048622222118	0.205129298463345	
FAM135B	ENSG00000147724.11	2.09660421053881	1.21920300593821	2.69298821992203	0.011120750892543	0.215151356551411	Up
SULT1C2	ENSG00000198203.9	2.09602172987568	-1.0920472651315	1.54448464151796	0.132183047776004	0.458808877162792	Up
CDKN2A	ENSG00000147889.17	2.09234952833381	1.07041312662774	4.09669014629064	0.0002620854420078	0.146303936573297	Up
CXCL9	ENSG00000138755.5	2.05373276012672	-0.17002456065807	1.38853520631388	0.174446692429823	0.507972420976252	Up
