gene_symbol	gene_id	logFC	AveExpr	t	P.Value	adj.P.Val	GMT_category
GDF15	ENSG00000130513.6	2.26717044980585	1.27345595510039	3.72967227800497	0.0053341122394258	0.272750903427558	Up
HBA1	ENSG00000206172.8	2.26688792647356	0.279162291548445	4.64070105023551	0.0014732431206831	0.223150580559435	Up
ADM2	ENSG00000128165.8	2.26538966193125	5.0411901214051	4.59553405706306	0.0015658143416533	0.223150580559435	
SNORD3A	ENSG00000263934.4	2.25920212067204	-0.676656315843954	1.21264559866756	0.25835109683962	0.626802878199578	
ENSG00000219159	ENSG00000219159.4	2.22805908324068	2.16000566767116	4.17461236871158	0.0028030679266734	0.249127751947054	
RORC	ENSG00000143365.17	2.22657222078853	5.61389789811856	3.25203376456368	0.0109618506383642	0.298626188086719	
COL17A1	ENSG00000065618.18	2.22572674934735	2.66768144233315	2.40281206713579	0.041653811292493	0.376637495836275	
DUSP2	ENSG00000158050.4	2.22424929247448	0.79614016709097	3.51343944705886	0.007364388724357	0.282364364880173	
PRKY	ENSG00000099725.14	2.21916534970605	3.51861429001602	1.36997108820322	0.206286254552683	0.581971505614321	
ZCCHC12	ENSG00000174460.3	2.18058241300518	0.952414198515489	1.00134143914726	0.344704340842798	0.690949282016951	Down
HSPA4L	ENSG00000164070.11	2.1560923108979	3.47799932467421	3.29420792689419	0.0102748928004503	0.29355468887447	
TSPEAR	ENSG00000175894.14	2.12833465338185	1.29891817291123	6.46436289992477	0.0001596542159371	0.17170618052993	
ARG2	ENSG00000081181.7	2.10833776991656	4.37899237712034	5.76669867211035	0.000354396573156	0.194383095980446	
ENSG00000280047	ENSG00000280047.1	2.09229665003871	1.73408023577237	5.6149913266254	0.0004250120490947	0.197562708492341	
SEL1L3	ENSG00000091490.10	2.09194116684636	5.02792291561505	2.95280632436628	0.0174422683063254	0.322080784505864	
ENSG00000267251	ENSG00000267251.2	2.07665113483819	0.0910736310398667	2.39186398511983	0.0423860242896222	0.37837043791433	
H4C8	ENSG00000158406.4	2.05255092360511	2.58005825513411	2.05018340802307	0.0729063727125311	0.43237675068759	
KDM5D	ENSG00000012817.15	2.05003331644337	5.66475833247537	0.849392645495077	0.419272692217176	0.742725784526118	
ENSG00000233864	ENSG00000233864.7	2.04803222797744	1.30800546133868	1.05779747210812	0.319693649592265	0.673249806023322	
DNAH5	ENSG00000039139.9	2.04167448742438	2.50556666645474	2.42111897452554	0.0404576017832877	0.376218514223213	
ENSG00000280287	ENSG00000280287.1	2.03169417991995	2.08728909085799	3.00909621552972	0.0159724970547246	0.317658092812117	
WFIKKN1	ENSG00000127578.6	2.01926543198486	1.61658629486823	1.48579221611755	0.173963712932309	0.551964055475194	
HRK	ENSG00000135116.9	2.01416018426496	0.384887879846611	1.93307438082564	0.0876558261733403	0.453603768399203	
ZNNT1	ENSG00000261087.1	2.00914572130639	2.23500462199104	2.51829260267887	0.0346618786577786	0.363936124494865	
DDIT3	ENSG00000175197.11	1.99923038616195	5.70045774138175	7.83892367620819	3.91039197086032e-05	0.142807156757806	
THBS4	ENSG00000113296.14	1.98753781622197	3.41601812841998	1.46994539740736	0.178105602479579	0.55476706333097	
ENSG00000279656	ENSG00000279656.1	1.96879779827819	0.400701615436976	2.15167910985763	0.0620908745772863	0.416071816222641	
MIOX	ENSG00000100253.12	1.96322776511459	3.00960458820845	5.17867883194691	0.0007293695676381	0.214734215386607	
ODAD1	ENSG00000105479.15	1.95452665747692	1.34861213556543	4.33124936791561	0.0022501257964034	0.239540037127607	
PDE4C	ENSG00000105650.21	1.95023680903799	1.6844853788344	2.39705731039962	0.0420371013198627	0.377935066092411	
GCNA	ENSG00000147174.11	1.94479418966763	2.48191349966487	3.10064823109595	0.0138503373995132	0.313427673590527	
RPH3AL-AS1	ENSG00000262061.5	1.93997367540567	-0.498585201905839	2.24096665592859	0.0538858314763687	0.403275398797499	
MT1F	ENSG00000198417.6	1.93821055826027	6.45052327933749	2.25254649963401	0.0529031776479724	0.400833956747298	
ENSG00000260337	ENSG00000260337.3	1.91636352925519	2.43599945079333	3.48727542189797	0.0076606286888315	0.283821989197225	
HAGHL	ENSG00000103253.17	1.91388860123518	2.2285017885071	3.31020916053221	0.0100261989034255	0.290513077892402	
RND1	ENSG00000172602.9	1.9058732928576	3.99361117498984	1.74561071032284	0.117327381354155	0.494184768386947	
