gene_symbol	gene_id	logFC	AveExpr	t	P.Value	adj.P.Val
PIEZO2	ENSG00000154864.11	1.85261138907905	1.29741027024639	0.900176186942838	0.402055464017441	0.999935971977903
ESM1	ENSG00000164283.12	1.84706421261437	-0.535833871769703	1.46224408010765	0.193044858758299	0.999935971977903
ENSG00000197376	ENSG00000197376.2	1.82966667704526	-0.332379683579321	1.3138090983948	0.236006588469631	0.999935971977903
PLA2G2A	ENSG00000188257.10	1.81245795320268	5.21508049966167	1.57184610897494	0.166077922341912	0.999935971977903
BNC1	ENSG00000169594.13	1.7427876949882	-0.0077089802434811	0.909659178715821	0.397409573610912	0.999935971977903
ERC2	ENSG00000187672.12	1.7378892793749	1.67357088038062	1.96065410686323	0.096661291202052	0.999935971977903
BMPR1B	ENSG00000138696.10	1.73528219755079	3.78178699574687	1.80968809207275	0.119358093445613	0.999935971977903
SSTR3	ENSG00000278195.1	1.72428432133701	2.95230481131486	1.91503886026821	0.103024778830154	0.999935971977903
H2BC21	ENSG00000184678.10	1.71857266510769	6.29328796930461	1.57877004906697	0.164498985645179	0.999935971977903
PCK1	ENSG00000124253.10	1.71540594626094	2.24781639589826	1.37508166708612	0.217320743749413	0.999935971977903
FOXP2	ENSG00000128573.24	1.71053861095772	3.71758445342994	3.17944324693389	0.0185790471614014	0.999935971977903
ENSG00000283075	ENSG00000283075.1	1.70469577966457	-0.76978489631386	1.16067238343954	0.289037321777754	0.999935971977903
HOXD10	ENSG00000128710.5	1.69786030243287	0.544132138252958	2.10738064475405	0.0787521727395881	0.999935971977903
SLC18A2	ENSG00000165646.11	1.69470234192441	1.44802551646522	1.61876191203716	0.155654019504162	0.999935971977903
DNAH11	ENSG00000105877.17	1.68974550257029	1.58122141645609	1.4151717504176	0.205828516723348	0.999935971977903
H2BC5	ENSG00000158373.8	1.66972204063992	3.7992010634857	1.0542486575567	0.331598622008958	0.999935971977903
GDNF	ENSG00000168621.14	1.66083688569009	1.62704950861992	2.36696866968254	0.0549297355710093	0.999935971977903
